ZCTA5CE20,group
"85353",3
"85043",3
"85007",3
"85003",3
"85004",3
"85034",3
"85006",3
"85040",3
"85008",3
"85009",3
"85041",3
"85326",3
"85338",3
"85323",3
"85353",3
"85043",3
"85396",3
"85007",3
"85003",3
"85004",3
"85034",3
"85006",3
"85040",3
"85009",3
"85041",3
"85326",3
"85043",3
"85009",3
"85041",3
"85354",1
"85340",1
"85392",1
"85395",1
"85329",1
"85007",3
"85003",3
"85004",3
"85034",3
"85006",3
"85040",3
"85009",3
"85041",3
"85326",3
"85339",3
"85007",3
"85003",3
"85004",3
"85034",3
"85006",3
"85040",3
"85009",3
"85041",3
"85326",3
"85339",3
"85009",3
"85041",3
"85339",3
"85045",3
"85339",3
"85045",3
"85339",3
"85045",3
"85339",3
"85339",3
"85139",3
"85339",3
"85172",3
"85138",3
"85045",3
"85339",3
"85045",3
"85339",3
"85045",3
"85193",1
"85339",3
"85339",3
"85339",3
"85045",3
"85339",3
"85132",3
"85143",3
"85142",3
"85248",3
"85140",3
"85298",3
"85249",3
"85045",3
"85226",3
"85339",3
"85045",3
"85339",3
"85339",3
"85339",3
"85045",3
"85339",3
"85048",3
"85045",3
"85226",3
"85339",3
"85048",3
"85044",3
"85284",3
"85283",3
"85224",3
"85202",3
"85210",3
"85233",3
"85204",3
"85234",3
"85045",3
"85215",3
"85206",3
"85205",3
"85208",3
"85207",3
"85120",3
"85119",3
"85118",1
"85296",1
"85209",1
"85225",1
"85545",1
"85035",3
"85303",3
"85301",3
"85345",3
"85302",3
"85304",3
"85381",3
"85306",3
"85007",3
"85003",3
"85004",3
"85034",3
"85040",3
"85031",3
"85009",3
"85041",3
"85382",3
"85308",3
"85310",3
"85383",3
"85324",3
"85303",3
"85301",3
"85015",3
"85031",3
"85019",3
"85017",3
"85303",3
"85301",3
"85302",3
"85304",3
"85031",3
"85019",3
"85007",3
"85003",3
"85004",3
"85034",3
"85040",3
"85009",3
"85041",3
"85009",3
"85041",3
"85342",1
"85301",3
"85302",3
"85304",3
"85306",3
"85308",3
"85310",3
"85086",3
"85087",3
"85324",3
"85301",3
"85301",3
"85302",3
"85304",3
"85331",3
"85053",3
"85029",3
"85085",3
"85027",3
"85083",1
"85301",3
"85302",3
"85304",3
"85306",3
"85301",3
"85051",3
"85301",3
"85302",3
"85304",3
"85024",3
"85022",3
"85331",3
"85266",3
"85377",3
"85262",3
"85053",3
"85051",3
"85029",3
"85027",3
"85023",3
"85050",3
"85255",1
"85263",1
"85302",3
"85304",3
"85306",3
"85020",3
"85254",3
"85028",3
"85259",3
"85051",3
"85021",3
"85260",3
"85268",3
"85264",3
"85302",3
"85304",3
"85022",3
"85053",3
"85051",3
"85029",3
"85021",3
"85023",3
"85032",1
"85255",1
"85123",0
"85131",0
"85553",0
"85282",2
"85307",0
"85739",0
"85305",0
"85658",0
"85390",0
"85026",0
"85375",0
"85618",0
"85355",0
"85361",0
"85213",2
"85121",0
"85623",0
"85363",0
"85033",2
"85379",0
"85387",0
"85192",0
"85128",0
"85297",0
"85541",0
"85539",0
"85135",0
"85554",0
"85012",2
"85016",2
"85343",0
"85321",0
"85501",0
"85253",2
"85281",0
"85173",0
"85335",0
"85532",0
"85337",0
"85251",0
"85018",2
"85201",0
"85042",2
"85191",0
"85014",2
"85054",0
"85257",0
"85122",0
"85373",0
"85374",0
"85309",0
"85194",0
"85378",0
"85141",0
"85256",2
"85258",2
"85550",0
"85388",0
"85286",2
"85147",0
"85033",2
"85332",0
"85137",0
"85033",2
"85037",0
"85236",0
"85013",2
"85042",2
"85322",0
"85295",0
"85203",2
"85634",0
"85250",2
"85351",0
"85212",0
